Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0805_2012Metric",107.508000,-129.540000,0.000000,top
"C2","22pF","C_0805_2012Metric",107.508000,-124.460000,0.000000,top
"C3","10uF","C_0805_2012Metric",88.966000,-104.648000,180.000000,top
"C4","22pF","C_0805_2012Metric",123.190000,-114.554000,270.000000,top
"C5","22pF","C_0805_2012Metric",127.508000,-114.554000,270.000000,top
"C6","100nF","C_0805_2012Metric",140.081000,-114.747000,90.000000,top
"C7","100nF","C_0805_2012Metric",143.891000,-114.747000,90.000000,top
"C8","100nF","C_0805_2012Metric",148.336000,-114.742000,270.000000,top
"C9","100nF","C_0805_2012Metric",152.400000,-114.747000,270.000000,top
"C10","10nF","C_0805_2012Metric",93.472000,-104.140000,0.000000,top
"C11","10uF","C_0805_2012Metric",105.664000,-100.142000,270.000000,top
"C12","10uF","C_0805_2012Metric",93.030000,-96.520000,180.000000,top
"C13","1uF","C_0805_2012Metric",148.336000,-109.728000,270.000000,top
"C14","1uF","C_0805_2012Metric",130.556000,-104.206000,270.000000,top
"D1","LED","LED_0805_2012Metric",137.589500,-125.984000,180.000000,top
"D2","1N5819","D_SOD-323",88.900000,-100.076000,180.000000,top
"D3","LED","LED_0805_2012Metric",144.985500,-122.174000,180.000000,top
"D4","LED","LED_0805_2012Metric",144.985500,-125.730000,180.000000,top
"F1","250mA","Fuse_1206_3216Metric",92.456000,-118.996000,270.000000,top
"FB1","600 @ 600Mhz","L_0805_2012Metric",92.456000,-113.745500,270.000000,top
"G***","LOGO","honda-motors",121.285000,-92.202000,0.000000,top
"L1","10u","L_0805_2012Metric",93.425500,-100.076000,0.000000,top
"Q1","AO3401A","SOT-23",87.884000,-118.872000,180.000000,top
"Q2","2N7002","SOT-23",136.144000,-104.140000,180.000000,top
"Q3","2N7002","SOT-23",146.828000,-98.618000,0.000000,top
"R1","1.2K","R_0805_2012Metric",137.564500,-129.857500,0.000000,top
"R2","10K","R_0805_2012Metric",120.396000,-104.751500,270.000000,top
"R3","100K","R_0805_2012Metric",87.479500,-113.284000,180.000000,top
"R4","40K","R_0603_1608Metric",87.884000,-108.395000,90.000000,top
"R5","75K","R_0805_2012Metric",105.664000,-95.504000,90.000000,top
"R6","8K","R_0805_2012Metric",100.584000,-95.908500,270.000000,top
"R7","7.5K","R_0805_2012Metric",99.568000,-100.584000,180.000000,top
"R8","10K","R_0805_2012Metric",143.764000,-109.831500,90.000000,top
"R9","10K","R_0805_2012Metric",140.311500,-99.568000,180.000000,top
"R10","10K","R_0805_2012Metric",146.304000,-104.036500,90.000000,top
"R11","10K","R_0805_2012Metric",135.739500,-99.568000,0.000000,top
"R12","1.2K","R_0805_2012Metric",144.803500,-134.366000,180.000000,top
"R13","1.2K","R_0805_2012Metric",144.907000,-130.302000,180.000000,top
"U2","TJA1051T","SOIC-8_3.9x4.9mm_P1.27mm",101.600000,-109.220000,0.000000,top
"U3","MP2359-DJ","SOT-23-6",93.388000,-108.204000,0.000000,top
"U5","ULN2803A","SOP-18_7x12.5mm_P1.27mm",124.968000,-125.984000,270.000000,top
"U6","XC6206PxxxMR","SOT-23",126.000000,-105.222000,0.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",113.200000,-126.150000,180.000000,top
"Y2","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",134.790000,-115.404000,180.000000,top
